Hubei,Mainland China,68128,4512,63616
Guangdong,Mainland China,1587,8,1542
Henan,Mainland China,1276,22,1254
Zhejiang,Mainland China,1268,1,1258
Hong Kong,Hong Kong,1037,4,772
Hunan,Mainland China,1019,4,1015
Anhui,Mainland China,991,6,985
Jiangxi,Mainland China,937,1,936
Heilongjiang,Mainland China,939,13,586
Shandong,Mainland China,787,7,768
Jiangsu,Mainland China,653,0,646
Chongqing,Mainland China,579,6,573
Beijing,Mainland China,593,9,525
Shanghai,Mainland China,644,7,581
Sichuan,Mainland China,561,3,558
Taiwan,Taiwan,429,6,281
Fujian,Mainland China,355,1,349
Hebei,Mainland China,328,6,318
Shaanxi,Mainland China,286,3,253
Guangxi,Mainland China,254,2,252
Nei Mongol,Mainland China,199,1,145
Shanxi,Mainland China,197,0,157
Tianjin,Mainland China,190,3,182
Yunnan,Mainland China,185,2,180
Hainan,Mainland China,168,6,162
Guizhou,Mainland China,147,2,145
Liaoning,Mainland China,146,2,143
Gansu,Mainland China,139,2,137
Jilin,Mainland China,110,1,99
Xinjiang Uygur,Mainland China,76,3,73
Ningxia,Mainland China,75,0,75
Macau,Macau,45,0,31
Qinghai,Mainland China,18,0,18
Xizang,Mainland China,1,0,1
Yemen,Yemen,1,0,0
Sao Tome and Principe,Sao Tome and Principe,4,0,0
Saint Pierre and Miquelon,Saint Pierre and Miquelon,1,0,0
South Sudan,South Sudan,6,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2,0,0
Malawi,Malawi,36,3,4
Burundi,Burundi,11,1,4
Sierra Leone,Sierra Leone,93,4,10
Botswana,Botswana,22,1,0
Anguilla,Anguilla,3,0,0
Saint Barthelemy,Saint Barthelemy,6,0,1
Bermuda,Bermuda,110,6,44
Faroe Islands,Faroe Islands,187,0,178
Gibraltar,Gibraltar,141,0,131
Isle of Man,Isle of Man,308,18,230
Saint Martin,Saint Martin,38,2,19
Montserrat,Montserrat,11,0,1
Mayotte,Mayotte,401,4,144
New Caledonia,New Caledonia,18,0,1
Sint Maarten,Sint Maarten,74,13,33
Turks and Caicos Islands,Turks and Caicos Islands,12,1,5
Republic of the Congo,Republic of the Congo,200,6,19
Angola,Angola,27,2,6
Benin,Benin,64,1,33
Bahamas,Bahamas,80,11,22
Belize,Belize,18,2,0
Barbados,Barbados,80,6,39
Central African Republic,Central African Republic,19,0,10
Cabo Verde,Cabo Verde,109,1,1
Djibouti,Djibouti,1035,2,477
Dominica,Dominica,16,0,8
Eritrea,Eritrea,39,0,3
Fiji,Fiji,18,0,3
Gambia,Gambia,10,1,2
Guinea-Bissau,Guinea-Bissau,73,1,18
Equatorial Guinea,Equatorial Guinea,258,1,7
Grenada,Grenada,18,0,7
Haiti,Haiti,76,6,8
Kyrgyzstan,Kyrgyzstan,695,8,395
Saint Kitts and Nevis,Saint Kitts and Nevis,15,0,0
Laos,Laos,19,0,0
Liberia,Liberia,124,12,25
Libya,Libya,61,2,18
Madagascar,Madagascar,128,0,75
Mali,Mali,408,23,113
Montenegro,Montenegro,321,7,153
Mozambique,Mozambique,76,0,12
Mauritius,Mauritius,334,9,302
Niger,Niger,701,29,385
Nicaragua,Nicaragua,13,3,7
Papua New Guinea,Papua New Guinea,8,0,0
El Salvador,El Salvador,323,8,89
Somalia,Somalia,480,26,10
Kosovo,Kosovo,510,12,93
Syria,Syria,43,3,14
Chad,Chad,46,0,15
Timor-Leste,Timor-Leste,24,0,2
Tanzania,Tanzania,299,10,48
Uganda,Uganda,79,0,46
Zambia,Zambia,88,3,42
Zimbabwe,Zimbabwe,32,4,5
Iran,Iran,91472,5806,70933
France,France,164589,23293,45513
Switzerland,Switzerland,29164,1665,22200
United Kingdom,United Kingdom,158353,21157,807
Netherlands,Netherlands,38440,4534,6
Norway,Norway,7599,205,32
Portugal,Portugal,24027,928,1357
Sweden,Sweden,18926,2274,1005
Australia,Australia,6721,83,5588
Denmark,Denmark,8698,422,5805
Malaysia,Malaysia,5820,99,3957
Israel,Israel,15555,204,7200
Turkey,Turkey,112261,2900,33791
Czech Republic,Czech Republic,7445,223,2826
Japan,Japan,14153,385,1899
Ireland,Ireland,19648,1102,9233
Pakistan,Pakistan,13915,292,3029
Luxembourg,Luxembourg,3729,88,3123
Ecuador,Ecuador,23240,663,1366
Thailand,Thailand,2931,52,2609
Finland,Finland,4695,190,2500
Others,Japan (Diamond Princess),706,6,10
Poland,Poland,11902,562,2466
Iceland,Iceland,1792,10,1608
Indonesia,Indonesia,9096,765,1151
Romania,Romania,11339,631,3141
Saudi Arabia,Saudi Arabia,18811,144,2531
Singapore,Singapore,14423,12,1060
Qatar,Qatar,11244,10,1066
Philippines,Philippines,7777,511,932
Slovenia,Slovenia,1402,83,221
Russia,Russia,87147,794,7346
South Africa,South Africa,4793,90,1473
Estonia,Estonia,1647,50,233
Bahrain,Bahrain,2723,8,1218
Egypt,Egypt,4782,337,1236
Mexico,Mexico,15529,1434,9086
Croatia,Croatia,2039,59,1166
Panama,Panama,6021,167,455
Lebanon,Lebanon,710,24,145
Iraq,Iraq,1847,88,1286
Serbia,Serbia,6630,125,870
Dominican Republic,Dominican Republic,6293,282,993
Algeria,Algeria,3517,432,1558
Armenia,Armenia,1808,29,848
Kuwait,Kuwait,3288,22,1012
Bulgaria,Bulgaria,1363,58,206
Slovakia,Slovakia,1381,18,403
San Marino,San Marino,538,41,64
United Arab Emirates,United Arab Emirates,10839,82,2090
Latvia,Latvia,818,13,267
Uruguay,Uruguay,620,15,386
Hungary,Hungary,2583,280,498
Lithuania,Lithuania,1449,41,474
Costa Rica,Costa Rica,697,6,287
North Macedonia,North Macedonia,1399,65,553
Vietnam,Vietnam,270,0,225
Andorra,Andorra,743,40,385
Morocco,Morocco,4120,162,695
Jordan,Jordan,449,7,342
Cyprus,Cyprus,822,14,148
Moldova,Moldova,3481,102,925
Bosnia and Herzegovina,Bosnia and Herzegovina,1565,60,659
Malta,Malta,450,4,286
Albania,Albania,736,28,422
Brunei,Brunei,138,1,115
Cambodia,Cambodia,122,0,98
Sri Lanka,Sri Lanka,588,7,126
Belarus,Belarus,11289,75,1740
Tunisia,Tunisia,967,39,279
Burkina Faso,Burkina Faso,635,42,469
Venezuela,Venezuela,329,10,142
New Zealand,New Zealand,1472,19,1214
Azerbaijan,Azerbaijan,1678,22,1162
Kazakhstan,Kazakhstan,2835,25,720
Senegal,Senegal,736,9,284
Guadeloupe,Guadeloupe,149,12,82
Oman,Oman,2049,10,364
Georgia (country),Georgia,497,6,156
Trinidad and Tobago,Trinidad and Tobago,116,8,58
Ukraine,Ukraine,9009,220,864
Reunion,Reunion,418,0,300
Uzbekistan,Uzbekistan,1904,8,892
Cameroon,Cameroon,1705,58,805
Martinique,Martinique,175,14,77
Liechtenstein,Liechtenstein,82,1,55
Afghanistan,Afghanistan,1703,57,220
Palestine,Palestine,495,4,92
Democratic Republic of the Congo,Democratic Republic of the Congo,459,28,50
Bangladesh,Bangladesh,5913,152,131
Nigeria,Nigeria,1337,40,255
Honduras,Honduras,661,61,79
Bolivia,Bolivia,1014,53,98
Paraguay,Paraguay,228,9,85
Cuba,Cuba,1389,56,525
Ghana,Ghana,1550,11,155
French Guiana,French Guiana,111,1,87
Rwanda,Rwanda,207,0,93
Guatemala,Guatemala,530,15,49
Jamaica,Jamaica,364,7,29
Togo,Togo,98,6,62
Kenya,Kenya,363,14,106
Cote d'Ivoire,Cote d'Ivoire,1164,14,499
Maldives,Maldives,226,0,17
Monaco,Monaco,95,4,42
Ethiopia,Ethiopia,124,3,50
Mongolia,Mongolia,38,0,9
Guyana,Guyana,74,8,12
Seychelles,Seychelles,11,0,0
Suriname,Suriname,10,0,0
Gabon,Gabon,211,3,43
French Polynesia,French Polynesia,57,0,35
Namibia,Namibia,16,0,4
Bhutan,Bhutan,7,0,3
Saint Lucia,Saint Lucia,15,0,1
Sudan,Sudan,275,22,21
Nepal,Nepal,52,0,16
Guinea,Guinea,1163,7,246
Aruba,Aruba,100,2,68
Jersey,Jersey,2,0,0
Mauritania,Mauritania,7,1,2
Antigua and Barbuda,Antigua and Barbuda,24,3,7
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,15,0,5
Curacao,Curacao,16,1,11
Greenland,Greenland,11,0,3
Guernsey,Guernsey,1,0,0
Vatican City,Vatican City,9,0,2
Cayman Islands,Cayman Islands,70,1,8
India,India,29451,939,7137
Canada,Canada,48500,2707,18268
Italy,Italy,199414,26977,66624
South Korea,South Korea,10752,244,8854
Spain,Spain,229422,23521,120832
Austria,Austria,15274,549,12362
Belgium,Belgium,46687,7207,10878
Greece,Greece,2517,136,577
Chile,Chile,13813,198,7327
Peru,Peru,28699,782,8425
Argentina,Argentina,4003,197,1140
Brazil,Brazil,66501,4543,31142
Colombia,Colombia,5597,253,1210
Germany,Germany,159103,6192,114500
New York,USA,298442,22668,32805
New Jersey,USA,111188,6044,730
Massachusetts,USA,56462,3003,1299
Illinois,USA,45883,1983,645
California,USA,45200,1788,3636
Pennsylvania,USA,43648,1906,765
Michigan,USA,38210,3407,8342
Florida,USA,32138,1088,174
Louisiana,USA,27068,1740,14927
Connecticut,USA,25997,2012,63
Texas,USA,25321,666,9227
Georgia,USA,24212,995,340
Maryland,USA,19487,858,1263
Ohio,USA,16325,753,448
Indiana,USA,15961,844,1559
Washington,USA,14200,772,1837
Colorado,USA,13879,706,559
Virginia,USA,13538,460,721
Tennessee,USA,9918,184,4755
North Carolina,USA,9428,340,1709
Rhode Island,USA,7708,233,452
Veteran Affair,USA,7316,443,0
Missouri,USA,7307,303,1683
Arizona,USA,6725,275,6
Alabama,USA,6539,228,0
US Military,USA,6213,26,1947
Mississippi,USA,6094,229,0
Wisconsin,USA,6081,281,2882
Iowa,USA,5868,127,1903
South Carolina,USA,5613,177,0
Nevada,USA,4701,206,2686
Utah,USA,4236,41,393
Delaware,USA,4162,125,996
Kentucky,USA,4156,213,1174
District of Columbia,USA,3892,185,659
Minnesota,USA,3811,286,1842
Kansas,USA,3473,126,703
Nebraska,USA,3358,56,0
Oklahoma,USA,3281,197,2171
Arkansas,USA,3069,51,1053
New Mexico,USA,2825,99,632
