name,Region,Last Update,Confirmed,Deaths,Recovered,
Hubei,Mainland China,4/19/20,68128,4512,63511,4/19/20
Guangdong,Mainland China,4/19/20,1580,8,1490,
Henan,Mainland China,4/19/20,1276,22,1254,
Zhejiang,Mainland China,4/19/20,1268,1,1246,
Hunan,Mainland China,4/19/20,1019,4,1014,
Anhui,Mainland China,4/19/20,991,6,984,
Jiangxi,Mainland China,4/19/20,937,1,936,
Shandong,Mainland China,4/19/20,787,7,761,
Jiangsu,Mainland China,4/19/20,653,0,643,
Chongqing,Mainland China,4/19/20,579,6,570,
Sichuan,Mainland China,4/19/20,561,3,553,
Beijing,Mainland China,4/19/20,593,8,509,
Heilongjiang,Mainland China,4/19/20,898,13,472,
Shanghai,Mainland China,4/19/20,635,7,516,
Hebei,Mainland China,4/19/20,328,6,316,
Hong Kong,Hong Kong,4/19/20,1025,4,602,
Fujian,Mainland China,4/19/20,355,1,336,
Guangxi,Mainland China,4/19/20,254,2,252,
Shaanxi,Mainland China,4/19/20,256,3,252,
Yunnan,Mainland China,4/19/20,184,2,177,
Taiwan,Taiwan,4/19/20,420,6,189,
Hainan,Mainland China,4/19/20,168,6,162,
Guizhou,Mainland China,4/19/20,147,2,145,
Tianjin,Mainland China,4/19/20,189,3,173,
Gansu,Mainland China,4/19/20,139,2,137,
Shanxi,Mainland China,4/19/20,197,0,135,
Liaoning,Mainland China,4/19/20,146,2,140,
Jilin,Mainland China,4/19/20,104,1,97,
Xinjiang Uygur,Mainland China,4/19/20,76,3,73,
Nei Mongol,Mainland China,4/19/20,193,1,103,
Ningxia,Mainland China,4/19/20,75,0,75,
Macau,Macau,4/19/20,45,0,16,
Qinghai,Mainland China,4/19/20,18,0,18,
Xizang,Mainland China,4/19/20,1,0,1,
Yemen,Yemen,4/19/20,1,0,0,
Sao Tome and Principe,Sao Tome and Principe,4/19/20,4,0,0,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/19/20,1,0,0,
South Sudan,South Sudan,4/19/20,4,0,0,
