name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,4/28/20,68128,4512,63616
Guangdong,Mainland China,4/28/20,1588,8,1554
Henan,Mainland China,4/28/20,1276,22,1254
Zhejiang,Mainland China,4/28/20,1268,1,1258
Hong Kong,Hong Kong,4/28/20,1037,4,772
Hunan,Mainland China,4/28/20,1019,4,1015
Anhui,Mainland China,4/28/20,991,6,985
Jiangxi,Mainland China,4/28/20,937,1,936
Heilongjiang,Mainland China,4/28/20,939,13,586
Shandong,Mainland China,4/28/20,787,7,768
Jiangsu,Mainland China,4/28/20,653,0,646
Chongqing,Mainland China,4/28/20,579,6,573
Beijing,Mainland China,4/28/20,593,9,525
Shanghai,Mainland China,4/28/20,645,7,584
Sichuan,Mainland China,4/28/20,561,3,558
Taiwan,Taiwan,4/28/20,429,6,281
Fujian,Mainland China,4/28/20,355,1,349
Hebei,Mainland China,4/28/20,328,6,318
Shaanxi,Mainland China,4/28/20,306,3,253
Guangxi,Mainland China,4/28/20,254,2,252
Nei Mongol,Mainland China,4/28/20,199,1,145
Shanxi,Mainland China,4/28/20,197,0,157
Tianjin,Mainland China,4/28/20,190,3,182
Yunnan,Mainland China,4/28/20,185,2,180
Hainan,Mainland China,4/28/20,168,6,162
Guizhou,Mainland China,4/28/20,147,2,145
Liaoning,Mainland China,4/28/20,146,2,143
Gansu,Mainland China,4/28/20,139,2,137
Jilin,Mainland China,4/28/20,110,1,99
Xinjiang Uygur,Mainland China,4/28/20,76,3,73
Ningxia,Mainland China,4/28/20,75,0,75
Macau,Macau,4/28/20,45,0,31
Qinghai,Mainland China,4/28/20,18,0,18
Xizang,Mainland China,4/28/20,1,0,1
Yemen,Yemen,4/28/20,1,0,0
Sao Tome and Principe,Sao Tome and Principe,4/28/20,8,0,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/28/20,1,0,0
South Sudan,South Sudan,4/28/20,34,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),4/28/20,2,0,0
Malawi,Malawi,4/28/20,36,3,4
Burundi,Burundi,4/28/20,11,1,4
Sierra Leone,Sierra Leone,4/28/20,104,4,12
Botswana,Botswana,4/28/20,23,1,0
Anguilla,Anguilla,4/28/20,3,0,0
Saint Barthelemy,Saint Barthelemy,4/28/20,6,0,1
Bermuda,Bermuda,4/28/20,110,6,44
Faroe Islands,Faroe Islands,4/28/20,187,0,178
Gibraltar,Gibraltar,4/28/20,141,0,131
Isle of Man,Isle of Man,4/28/20,309,21,252
Saint Martin,Saint Martin,4/28/20,38,2,19
Montserrat,Montserrat,4/28/20,11,0,1
Mayotte,Mayotte,4/28/20,460,4,235
New Caledonia,New Caledonia,4/28/20,18,0,1
Sint Maarten,Sint Maarten,4/28/20,75,13,33
Turks and Caicos Islands,Turks and Caicos Islands,4/28/20,12,1,5
Republic of the Congo,Republic of the Congo,4/28/20,207,8,19
Angola,Angola,4/28/20,27,2,6
Benin,Benin,4/28/20,64,1,33
Bahamas,Bahamas,4/28/20,80,11,22
Belize,Belize,4/28/20,18,2,0
Barbados,Barbados,4/28/20,80,6,39
Central African Republic,Central African Republic,4/28/20,50,0,10
Cabo Verde,Cabo Verde,4/28/20,114,1,2
Djibouti,Djibouti,4/28/20,1072,2,498
Dominica,Dominica,4/28/20,16,0,8
Eritrea,Eritrea,4/28/20,39,0,3
Fiji,Fiji,4/28/20,18,0,3
Gambia,Gambia,4/28/20,10,1,2
Guinea-Bissau,Guinea-Bissau,4/28/20,73,1,18
Equatorial Guinea,Equatorial Guinea,4/28/20,315,1,9
Grenada,Grenada,4/28/20,19,0,10
Haiti,Haiti,4/28/20,76,6,8
Kyrgyzstan,Kyrgyzstan,4/28/20,708,8,416
Saint Kitts and Nevis,Saint Kitts and Nevis,4/28/20,15,0,0
Laos,Laos,4/28/20,19,0,0
Liberia,Liberia,4/28/20,141,16,45
Libya,Libya,4/28/20,61,2,18
Madagascar,Madagascar,4/28/20,128,0,75
Mali,Mali,4/28/20,424,24,122
Montenegro,Montenegro,4/28/20,321,7,153
Mozambique,Mozambique,4/28/20,76,0,12
Mauritius,Mauritius,4/28/20,334,9,302
Niger,Niger,4/28/20,709,31,403
Nicaragua,Nicaragua,4/28/20,13,3,7
Papua New Guinea,Papua New Guinea,4/28/20,8,0,0
El Salvador,El Salvador,4/28/20,345,8,97
Somalia,Somalia,4/28/20,528,28,19
Kosovo,Kosovo,4/28/20,510,12,93
Syria,Syria,4/28/20,43,3,14
Chad,Chad,4/28/20,52,2,19
Timor-Leste,Timor-Leste,4/28/20,24,0,2
Tanzania,Tanzania,4/28/20,299,10,48
